ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
-87.24,153.0,-26.7,0.21,0.39,0.67,111.42,29.6,162.19,45.35,150.33,-263.64,-1.75,-87.24,150.33,-58.04,,0.0,0.0,0.0,0
2.17,53.79,0.86,0.07,0.13,0.76,144.13,8.45,136.57,85.58,95.81,2370.98,24.75,14.36,95.81,4.87,0.15,0.0,3.92,110.7,0
-594.09,189.88,-34.48,0.24,0.24,0.24,21.13,,86.27,,4.13,-1.32,-0.32,35.94,412.88,-143.89,,0.0,36.57,930.4,0
8.95,13.36,7.08,1.8,2.63,3.02,287.77,19.79,89.07,36.58,0.33,0.49,1.49,20.41,32.99,27.15,89.38,1.57,6.54,34.96,0
14.08,91.85,3.21,0.27,0.42,1.16,83.0,8.98,67.71,49.89,0.85,5.52,6.52,70.71,84.66,19.49,4.06,0.0,9.61,56.36,0
4.43,6.95,2.6,1.43,1.51,2.74,213.86,6.57,55.34,91.12,0.36,0.57,1.57,14.98,36.22,16.91,19.7,9.13,4.33,39.57,0
10.56,60.2,9.0,0.83,1.21,1.21,310.3,97.37,253.04,,0.82,4.7,5.7,13.77,82.46,12.8,,0.0,2.74,16.5,0
1.03,17.61,0.46,0.53,0.78,1.0,162.0,38.62,96.5,32.9,0.94,16.14,17.14,18.19,94.16,2.47,1.04,33.31,5.49,55.33,0
-27.01,-43.73,-5786.88,0.2,0.38,0.39,77978.97,4835.32,27651.25,477.56,0.37,0.59,1.62,-22.99,36.67,-62.79,0.73,0.0,601.31,-17.17,0
3.94,70.9,1.02,0.0,0.68,0.96,93.9,57.96,86.86,24.8,0.94,16.98,17.98,39.48,94.44,5.24,0.67,0.0,6.67,65.65,0
3.31,56.43,0.8,0.01,0.62,1.0,88.29,49.23,79.88,29.94,0.94,16.07,17.07,52.19,94.14,4.78,0.85,0.0,8.55,65.9,0
12.95,24.92,5.53,0.3,2.11,2.12,155.42,132.08,72.66,0.18,0.48,0.92,1.92,32.43,48.05,26.94,,0.0,8.32,53.44,0
3.15,535.16,,0.17,2.73,2.73,211.77,68.33,16.12,,0.99,169.04,170.04,10.07,99.41,32.38,1.38,6.09,2.98,10.54,0
-0.4,-0.43,-8.03,0.01,3.05,3.05,7283.42,1070.92,353.19,,0.06,0.07,1.07,-0.37,6.47,58.72,1.12,0.0,0.42,0.49,0
19.16,93.98,8.03,0.2,1.24,1.24,152.47,121.76,118.21,0.01,0.8,3.9,4.9,53.24,79.57,26.07,8.02,0.0,11.88,45.8,0
0.5,1.62,0.22,0.1,0.26,0.46,162.86,14.71,59.41,17.48,0.69,2.24,3.24,26.52,69.1,7.46,0.59,27.54,7.92,52.98,0
-3.16,1888.46,-19.85,0.93,0.95,0.95,2289.83,43.82,2268.45,,1.0,-599.35,-598.35,-3.16,100.17,-3.15,-0.04,0.0,0.0,0.0,0
23.79,34.01,7.43,1.42,2.39,3.32,113.74,6.14,31.79,30.03,30.04,42.94,1.43,55.17,30.04,91.48,14.4,0.34,9.8,45.62,0
-8.91,36.53,-7.65,0.11,0.13,0.73,312.46,5.95,360.43,217.77,1.24,-5.1,-4.1,10.44,124.4,0.0,-1.26,0.0,13.22,68.73,0
2.78,5.27,0.76,0.35,0.45,1.17,98.78,4.31,43.36,31.22,0.47,0.89,1.9,55.58,47.19,11.93,1.15,0.0,9.87,59.62,0
1.63,3.32,2.13,0.05,0.72,1.21,475.78,146.19,218.1,106.75,0.51,1.04,2.04,12.9,50.92,8.74,1.24,0.0,10.46,50.39,0
4.19,4.95,2.23,1.22,4.44,7.22,193.35,79.41,26.01,72.3,0.15,0.18,1.18,28.29,15.37,39.44,58.9,0.0,9.4,58.34,0
9.36,23.96,2.24,0.89,1.64,1.64,87.25,39.28,52.57,,0.61,1.56,2.56,83.45,60.92,15.36,,0.0,17.76,79.88,0
4.2,16.18,0.99,0.11,0.42,1.29,85.82,17.81,57.05,51.52,0.74,2.85,3.85,15.7,74.05,10.71,3.42,2.66,1.94,50.06,0
6.97,12.98,1.72,0.68,2.38,2.78,89.67,46.23,27.13,10.71,0.46,0.86,1.86,27.79,46.31,31.18,4.61,15.72,5.13,51.23,0
-4.2,-256.37,,12.72,14.63,14.99,1484.54,102.32,53.51,19.12,0.98,60.01,61.01,3.34,98.36,5.68,2.15,0.0,22.69,93.76,0
1.81,5.61,1.26,-57.02,-57.02,-57.02,254.19,,-1.36,,0.68,2.1,3.1,11.33,67.62,9.49,1.45,0.0,4.9,26.01,0
4.16,72.82,1.1,0.0,0.51,0.78,96.25,44.98,88.84,23.72,0.94,16.52,17.52,39.8,94.29,8.88,0.23,0.0,6.77,57.45,0
1.11,10.59,2.3,0.51,0.64,0.64,751.84,85.33,665.36,,0.89,8.51,9.51,7.6,89.48,15.2,0.24,0.0,13.4,28.68,0
1.3,1.87,1.83,3.38,3.55,3.55,513.21,21.82,130.64,,30.48,43.83,1.44,1.3,30.48,14.49,8.66,0.0,0.0,0.0,0
0.0,0.0,,8.27,136.32,136.32,6629.29,5008.1,39.11,,0.01,0.01,1.01,2.95,0.72,142.86,5.32,0.0,39.82,52.06,0
-0.17,-0.23,,0.63,0.68,0.68,7133.02,25.75,512.55,,0.28,0.39,1.39,-0.17,28.3,6.86,0.98,0.0,0.0,0.0,0
