ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
0.83,93.57,0.32,0.29,0.46,1.52,139.52,15.38,90.98,97.22,0.99,111.21,112.21,0.83,99.11,0.86,2982.74,0.0,0.0,0.0,0
10.67,24.13,2.74,0.64,0.75,0.75,93.35,5.58,50.98,,0.56,1.26,2.26,46.22,55.78,69.21,0.76,0.0,9.12,39.74,0
9.55,13.57,3.14,1.56,1.95,3.42,119.55,13.64,34.52,51.6,0.3,0.42,1.42,44.42,29.6,32.27,,0.0,11.45,62.52,0
-4.83,-50.23,-0.99,0.03,1.1,1.1,74.75,62.76,42.07,,0.9,9.4,10.4,148.77,90.39,7.07,1.32,22.75,31.54,96.16,0
-96.61,-179.82,-115.46,1.1,1.21,1.32,435.0,20.37,9.75,23.8,0.46,0.86,1.86,-87.46,46.27,-194.72,1.39,44.01,10.94,84.16,0
-2.45,-2.52,-3.67,-1.61,4.1,10.49,545.04,32.66,5.73,37.13,0.03,0.03,1.03,11.89,2.8,-87.43,1.11,0.0,21.48,105.9,0
6.02,8.37,4.46,0.82,2.32,3.04,269.46,99.15,66.24,48.88,0.28,0.39,1.39,41.71,28.06,31.68,3.04,0.0,26.42,76.26,0
2.76,3.89,3.89,2.23,3.25,3.25,511.72,146.63,143.49,0.05,0.29,0.41,1.41,9.61,29.04,14.15,9.09,0.0,9.63,56.71,0
59.88,95.16,23.66,0.99,2.31,2.31,143.83,69.15,52.31,,0.37,0.59,1.59,67.56,37.08,161.48,4.67,0.0,3.04,8.92,0
0.19,1.32,0.07,0.2,0.78,0.78,138.99,54.43,93.68,,0.85,5.84,6.84,22.28,85.37,13.75,0.68,17.23,8.43,52.44,0
9.48,15.34,6.05,1.19,2.69,4.5,232.51,50.04,33.18,60.79,0.16,0.26,1.62,44.09,38.22,126.73,1.82,0.0,22.11,67.71,0
1.18,1.91,0.4,0.32,1.17,1.74,122.82,37.52,43.51,26.1,0.38,0.62,1.62,46.94,38.43,14.84,1.75,0.91,15.44,84.66,0
106.76,3620.08,16.99,0.4,1.04,1.04,57.91,29.15,54.1,0.04,0.97,32.91,33.91,173.5,97.05,110.01,,0.0,10.62,36.9,0
-32.63,-682.07,-7.5,0.05,0.42,1.09,83.62,22.31,58.36,41.61,0.95,19.9,20.9,97.84,95.22,-21.8,0.31,3.1,29.97,113.67,0
-6.11,1348.59,,0.07,0.13,0.13,,,,,1.0,-221.69,-220.69,-6.11,100.45,-1.55,-0.01,0.0,,0.0,0
6.16,10.39,2.79,0.33,1.12,1.5,164.68,49.66,58.59,24.96,0.41,0.69,1.69,47.86,40.72,34.55,1.46,3.49,18.87,74.93,0
2.86,3.13,1.4,4.27,4.51,4.51,177.73,3.26,14.01,,0.09,0.09,1.09,71.27,8.54,82.46,1.47,0.0,33.4,85.07,0
19.82,69.22,6.62,0.3,0.87,1.45,121.61,38.96,69.67,41.12,0.6,2.11,3.49,57.92,71.37,39.53,2.11,0.0,12.73,54.35,0
3.73,5.99,2.5,0.4,1.21,1.62,244.3,74.38,90.92,37.09,0.38,0.61,1.61,8.93,37.73,31.5,1.6,0.0,3.49,18.98,0
38.66,52.62,18.69,1.7,3.58,3.65,175.97,73.88,40.77,2.98,0.27,0.36,1.36,44.83,26.54,169.42,5.38,0.0,2.99,9.57,0
-2.91,-8.23,-1.83,0.22,1.05,1.11,228.74,54.75,40.59,3.96,0.65,1.83,2.83,42.62,64.68,34.62,1.03,34.55,28.61,63.11,0
-0.83,-3.21,-0.36,0.6,0.78,0.81,157.06,16.37,92.68,2.78,0.74,2.88,3.88,74.89,74.21,23.97,0.78,0.0,32.67,73.78,0
26.44,280.66,11.4,0.21,0.76,1.06,156.93,72.63,131.84,40.47,0.87,9.27,10.61,54.82,90.58,33.65,1.26,0.0,12.23,46.63,0
1.26,2.57,0.8,0.34,1.53,1.75,230.58,132.86,106.95,25.19,0.5,1.02,2.04,41.82,50.9,10.22,3.79,2.06,25.69,84.48,0
5.29,6.63,4.51,1.21,4.13,4.24,310.08,160.82,54.94,6.12,0.2,0.25,1.25,20.29,20.12,69.54,3.44,0.0,12.77,40.81,0
13.98,89.43,7.32,-0.18,0.16,0.2,190.57,53.04,155.13,6.67,0.84,5.39,6.4,54.15,84.37,30.19,0.19,0.0,21.03,58.33,0
7.02,18.28,3.23,0.14,1.17,1.29,167.64,91.19,60.18,11.52,0.61,1.6,2.6,77.77,61.58,29.35,1.5,23.26,32.58,74.36,0
12.05,26.06,4.56,0.73,1.34,1.75,137.83,41.44,67.77,27.94,0.54,1.16,2.16,45.12,53.77,38.05,3.94,0.0,12.52,56.81,0
1.18,7.31,0.87,0.42,1.13,1.5,266.6,47.71,45.43,25.47,0.84,5.18,6.18,19.43,83.81,9.49,1.21,28.01,13.36,77.95,0
2.36,4.83,1.95,0.1,0.75,1.77,300.91,97.87,149.29,153.17,0.51,1.04,2.04,20.14,51.03,7.36,4.59,0.0,14.7,83.04,0
