ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
-13.63,-36.03,-4.27,1.53,2.09,2.09,114.01,21.43,38.56,,0.62,1.64,2.64,286.91,62.16,-1.09,2.15,0.0,94.13,115.09,-27.91,-117.96,-6.73,0.54,1.04,1.04,87.82,33.03,66.32,,0.76,3.23,4.23,310.03,76.34,-13.44,1.15,-0.01,81.54,98.37,0
-19.43,-14503.58,-47.68,0.09,0.11,0.17,893.36,23.69,873.55,51.69,1.0,743.57,746.52,-2.5,99.87,-6.03,0.0,0.0,41.54,143.71,-21.23,-4252.11,-42.4,0.03,0.08,0.1,726.84,29.38,705.68,20.13,0.99,199.0,200.24,-4.0,99.38,-6.99,0.01,0.0,24.14,108.17,0
7.4,24.53,3.88,0.26,0.57,1.58,190.98,21.44,44.07,70.19,0.7,2.31,3.32,46.61,69.84,20.23,1.46,44.08,20.57,67.37,8.08,22.05,4.0,0.26,0.61,1.75,180.39,23.1,42.02,76.97,0.63,1.71,2.73,68.85,62.66,22.99,1.75,35.32,20.39,64.16,0
3.93,22.24,1.63,0.13,1.09,1.28,150.79,86.76,90.74,17.42,82.31,465.39,5.65,23.08,82.31,8.38,1.66,10.2,5.62,32.95,3.01,21.68,1.2,0.08,1.1,1.22,144.9,94.39,92.96,11.3,86.12,620.53,7.21,29.5,86.12,13.7,1.4,12.71,7.9,50.38,0
-6.29,-6.29,,,,,,,,,,,1.0,-6.29,0.0,,,0.0,,,-210.17,-357.68,-21.54,1.11,1.15,3.45,37.31,0.35,10.7,24.64,0.41,0.7,1.7,-210.17,41.24,-509.6,,0.0,0.0,0.0,0
1.8,50.27,0.86,0.02,0.6,4.04,172.71,22.56,36.12,135.43,0.96,26.88,27.88,14.58,96.41,5.17,9.44,8.49,6.06,60.78,0.68,30.01,0.38,0.0,0.97,1.55,204.11,117.9,119.17,71.69,0.98,42.94,43.94,7.53,97.72,2.7,6.61,6.8,2.67,42.84,0
-140.79,393.44,-24.76,0.19,0.32,0.81,64.01,10.04,77.8,38.72,1.36,-3.79,-2.79,-140.79,135.78,-103.69,,0.0,0.0,0.0,-18.57,30.62,-19.59,0.17,0.22,0.69,383.92,32.84,552.39,255.68,1.61,-2.65,-1.65,-18.57,160.65,-11.56,,0.0,0.0,0.0,0
8.49,57.19,13.27,0.21,0.68,0.72,487.65,107.71,231.68,8.79,0.85,5.73,6.73,17.4,85.15,27.54,0.82,0.0,13.93,22.11,13.48,43.26,13.28,0.34,0.84,0.88,358.59,84.42,166.79,6.14,0.69,2.21,3.21,26.43,68.83,56.26,0.9,0.0,8.13,12.88,0
,,,,,,,,,,,,,,,,,,,,12.73,84.49,9.55,-0.18,1.78,1.93,273.17,175.57,89.55,13.33,0.85,5.64,6.64,45.9,84.93,25.5,1.86,0.0,24.89,57.3,0
0.25,0.28,0.65,0.02,1.59,1.92,956.31,186.57,67.25,40.41,0.13,0.15,1.15,1.06,12.97,42.14,1.15,5.49,2.12,9.62,0.29,0.37,0.86,0.52,8.1,9.11,1070.0,323.72,35.21,43.25,0.2,0.25,1.25,1.33,19.81,23.87,1.52,16.14,3.06,12.41,0
3.64,11.83,1.19,0.12,0.7,0.92,118.75,46.48,79.75,17.7,0.69,2.25,3.25,32.21,69.27,19.09,0.85,0.0,9.32,62.7,2.17,7.74,0.69,0.45,0.87,1.02,116.26,34.16,81.02,11.4,72.0,257.15,3.57,43.58,72.0,17.05,1.05,0.0,9.34,52.97,0
