ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
8.5,13.71,3.28,0.36,1.75,1.75,140.6,63.08,13.83,,0.38,0.61,1.61,79.28,38.02,40.46,1.57,24.14,27.34,72.51,30.02,50.05,6.77,0.09,1.13,1.14,82.12,32.97,22.58,0.45,0.4,0.67,1.67,125.27,40.03,86.13,1.1,11.35,21.49,67.42,0
-12.23,85.37,-2.17,0.3,0.82,0.83,64.68,11.43,68.88,0.36,1.14,-7.98,-6.98,163.14,114.32,-8.16,-1.26,0.0,31.16,93.55,-3.64,35.4,-0.94,0.34,0.87,0.87,94.16,19.88,95.97,0.38,1.1,-10.72,-9.72,110.06,110.29,-1.18,-1.47,3.16,29.41,94.26,0
2.2,31.66,0.97,0.0,0.8,0.85,160.14,111.14,124.39,7.05,0.93,13.41,14.41,7.33,93.06,15.02,0.48,9.26,2.26,20.8,0.9,10.11,0.48,0.0,0.72,0.74,195.66,119.71,164.21,1.9,0.91,10.23,11.23,10.35,91.1,18.99,0.42,0.71,5.08,39.87,0
9.01,9.88,17.12,2.92,18.89,19.18,691.48,373.39,25.56,7.56,0.09,0.1,1.1,32.68,8.81,148.39,3.86,0.0,44.97,76.27,3.57,3.73,10.37,10.93,30.15,30.19,1056.7,439.27,27.24,0.96,0.04,0.05,1.05,16.38,4.34,150.98,4.54,0.0,37.2,63.33,0
21.49,33.19,11.22,0.23,3.82,4.6,190.1,100.97,21.31,22.21,0.35,0.54,1.54,49.31,35.24,85.18,2.76,3.6,14.53,40.05,18.73,32.21,15.8,0.84,2.25,2.25,307.1,146.48,39.41,,0.42,0.72,1.72,35.65,41.85,51.07,2.88,21.31,14.27,37.64,0
2.19,-34.54,0.43,0.42,0.66,0.85,70.99,18.06,74.95,14.89,1.06,-16.78,-15.78,72.09,106.34,6.09,-1.37,0.0,13.63,87.8,0.21,-9.54,0.11,0.03,0.5,0.58,182.3,86.98,184.38,15.0,1.02,-46.36,-45.36,25.05,102.2,4.59,-0.06,0.0,12.44,81.08,0
-12.76,-28.68,-11.8,1.14,1.7,1.7,336.6,101.99,182.42,0.2,0.55,1.25,2.25,3.03,55.5,-20.37,7.08,0.0,14.6,253.46,-22.15,-23.88,-28.14,14.61,14.61,14.62,462.39,,25.89,0.38,0.07,0.08,1.08,14.3,7.23,-309.04,5.73,0.0,46.3,483.81,0
33.33,87.01,22.7,0.17,1.37,1.57,247.84,174.3,145.8,30.52,0.62,1.61,2.61,53.63,61.69,59.27,6.71,0.0,13.82,31.76,66.72,89.29,15.39,3.35,3.65,4.17,83.95,5.16,17.33,9.1,0.25,0.34,1.34,103.02,25.28,278.58,6.41,0.0,8.37,28.02,0
6.35,6.84,11.1,11.5,14.01,14.02,636.73,107.23,40.44,0.32,0.07,0.08,1.08,21.37,7.29,156.49,20.58,0.37,26.29,50.71,-0.19,-0.21,-0.43,9.63,11.13,11.34,808.52,105.23,70.07,15.12,0.09,0.1,1.1,17.82,9.07,43.8,335.81,0.0,40.02,78.31,0
3.12,3.56,0.18,7.93,7.93,7.93,21.09,,2.6,,0.12,0.14,1.14,3.12,12.49,47.95,125.78,0.0,0.0,0.0,4.46,17.38,2.8,0.36,1.59,1.59,228.85,102.03,82.83,,0.37,1.43,3.9,4.46,74.36,35.25,0.62,0.0,0.0,0.0,0
