ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
6.21,56.61,3.67,0.1,1.01,1.06,215.71,154.39,147.39,8.55,0.89,8.12,9.12,10.05,89.04,10.33,0.73,10.36,2.27,25.41,0
1.72,45.99,1.09,0.18,0.98,1.0,232.43,161.56,156.94,2.92,0.96,25.78,26.78,13.31,96.27,3.82,0.94,18.93,7.38,63.07,0
0.03,0.11,0.02,0.03,0.06,0.15,325.85,6.44,177.41,19.43,0.76,3.23,4.23,32.81,76.37,5.8,0.43,15.27,29.27,72.19,0
2.96,20.07,2.85,0.47,0.49,0.49,350.78,6.11,294.21,,0.85,5.77,6.78,5.9,85.25,7.82,0.42,0.0,2.83,31.11,0
-4.23,-6.1,-3.14,0.68,2.6,2.87,270.42,147.87,77.24,21.1,0.31,0.44,1.44,22.2,30.64,19.54,4.19,0.0,19.59,80.37,0
0.05,0.16,0.03,0.17,1.14,1.22,223.95,125.26,129.32,11.05,0.67,2.01,3.01,17.0,66.74,10.2,1.45,0.0,10.4,64.33,0
-0.6,17.13,,0.0,0.18,6.37,,,,,1.04,-29.41,-28.41,-0.6,103.52,-0.58,,0.0,,0.0,0
-16.15,-21.82,-12.75,0.32,3.77,3.77,288.03,225.08,65.18,,0.26,0.35,1.35,113.87,25.96,-62.23,,0.0,102.61,113.72,0
5.72,39.72,5.54,0.55,0.75,0.75,353.11,58.57,296.72,,0.85,5.91,6.94,5.72,85.59,17.65,0.41,0.0,0.0,0.0,0
-14.83,-62.67,-8.33,0.2,0.43,0.48,204.97,32.81,138.95,5.95,0.76,3.23,4.23,20.98,76.34,-1.69,0.45,4.78,20.1,146.82,0
0.48,0.68,0.14,0.24,3.38,3.42,108.89,92.66,29.45,1.34,0.29,0.42,1.42,7.57,29.49,6.69,13.02,0.05,2.11,78.01,0
18.98,32.63,5.48,0.6,2.38,2.39,105.32,,43.44,0.65,0.42,0.72,1.72,29.19,41.81,45.4,,0.0,2.94,28.87,0
