ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
10.35,15.24,20.96,0.63,1.82,2.43,737.0,73.14,36.77,38.14,0.31,0.46,1.47,21.16,32.08,42.76,1.13,19.78,21.88,54.26,6.24,8.52,12.48,0.29,1.69,3.0,728.17,60.75,19.13,56.63,0.26,0.35,1.37,17.82,25.78,36.69,1.13,16.19,16.49,37.97,0
-4.04,-14.28,-19.62,0.88,1.08,1.08,1768.84,256.73,1254.64,,0.72,2.54,3.54,-4.04,71.72,2.18,1.27,0.0,0.0,0.0,-30.85,-49.05,-23.42,0.47,2.69,2.69,276.39,225.54,101.44,,0.37,0.59,1.59,-30.85,37.11,-48.48,,0.0,0.0,0.0,0
35.09,64.89,10.8,0.17,1.0,1.1,112.05,40.69,49.25,5.23,0.46,0.85,1.85,52.02,45.92,108.04,1.11,0.0,5.21,20.95,22.23,33.95,11.28,0.35,0.98,1.19,184.76,37.73,60.18,12.77,0.35,0.53,1.53,41.27,34.52,104.17,1.09,0.0,9.66,31.39,0
4.9,17.92,3.55,0.46,0.73,0.73,212.68,51.54,189.18,,0.73,2.66,3.66,4.9,72.65,15.82,0.59,0.0,0.0,0.0,30.41,69.86,,1.3,1.49,1.49,363.3,36.86,202.9,,0.56,1.3,2.3,30.41,56.47,65.05,2.75,0.0,0.0,0.0,0
-102.94,-457.55,-65.91,0.04,0.04,0.04,233.08,0.08,176.21,,0.78,3.44,4.44,90.84,77.5,-84.89,0.25,0.0,124.08,145.07,39.7,66.26,,0.62,1.16,1.16,183.81,38.08,70.5,0.0,0.4,0.67,1.67,131.36,40.08,182.19,1.16,0.0,34.17,36.63,0
22.16,22.17,46.36,2021.75,2021.75,2021.75,761.62,,,,0.0,0.0,1.0,22.16,0.05,44800.0,,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0
-6.25,-6.32,,,,,,,,,0.01,0.01,1.01,-6.25,1.05,-594.0,,0.0,,0.0,38.63,89.53,,0.61,1.63,1.63,194.86,93.36,108.53,,0.57,1.32,2.32,43.45,56.86,69.62,5.43,0.0,2.43,19.67,0
0.87,1.58,18.96,0.03,1.62,1.87,7922.05,1745.31,3513.56,906.34,0.45,0.81,1.81,2.28,44.84,21.38,3.43,0.0,30.6,-3.14,1.37,3.06,,0.05,1.64,1.45,130806.88,19121.97,71298.71,-13146.07,0.55,1.23,2.23,5.05,55.11,13.93,2.24,0.0,973.74,-8.52,0
,,,,,,,,,,,,,,,,,,,,33.14,87.33,20.32,0.67,1.34,1.34,223.13,92.15,136.92,,0.62,1.63,2.63,34.57,62.05,63.33,2.27,0.0,0.65,2.07,0
0.34,0.6,2.69,0.01,0.91,1.36,2896.04,710.17,203.2,358.96,0.34,0.61,1.78,16.32,43.67,32.56,0.97,22.85,127.12,5211.18,0.09,0.15,0.36,0.01,0.75,1.39,1515.64,232.43,124.52,210.59,0.29,0.48,1.67,20.45,29.01,46.57,0.92,15.48,59.41,292.29,0
12.38,82.72,7.29,0.29,0.52,1.18,214.27,41.92,180.19,119.47,0.85,5.68,6.68,12.38,85.03,14.56,,0.0,0.0,0.0,6.44,77.5,9.45,0.07,0.24,1.09,534.04,82.02,484.26,410.44,0.92,11.03,12.03,6.44,91.69,7.03,,0.0,0.0,0.0,0
1.81,14.65,1.24,0.69,0.86,0.88,249.43,27.95,137.2,4.22,0.88,7.08,8.08,16.84,87.63,29.06,0.8,31.0,10.3,33.16,4.55,29.14,2.39,0.09,0.44,0.46,191.05,50.17,123.98,2.38,0.84,5.4,6.4,19.02,84.38,33.21,0.36,17.94,7.59,40.57,0
-0.19,-10.96,-0.48,0.04,0.37,0.37,928.01,289.65,860.11,,0.98,57.63,58.63,-0.06,98.29,11.35,0.1,0.0,0.32,1.59,1.1,41.2,2.31,0.01,0.42,0.46,761.96,297.65,688.87,23.7,0.97,36.41,37.41,1.1,97.33,16.94,0.09,3.52,0.0,0.0,0
1.39,2.27,8.69,0.96,1.29,2.9,2277.59,98.85,302.58,494.13,0.39,0.63,1.63,19.21,38.82,75.22,1.43,0.0,111.48,-56.62,3.62,5.3,18.56,4.93,5.2,6.94,1864.39,38.78,146.99,255.57,0.32,0.46,1.46,20.44,31.65,94.74,2.06,0.0,86.13,-36.78,0
-1.69,-2.99,-4.09,0.49,0.61,0.84,881.06,33.25,156.36,69.56,0.33,0.59,1.77,16.14,43.64,-3.14,0.78,15.13,43.16,129.29,-19.43,-40.87,,0.19,0.35,0.39,1179.69,78.4,388.84,18.12,0.43,0.91,2.1,-1.19,43.17,-39.75,0.57,9.63,40.55,-228.91,0
6.14,16.73,10.52,0.01,0.29,0.45,623.5,97.41,338.99,52.94,0.63,1.73,2.73,44.49,63.31,31.95,0.55,0.0,65.7,386.27,1.47,3.64,2.8,0.01,0.23,0.5,693.01,84.73,378.12,101.88,0.6,1.48,2.48,40.94,59.62,24.14,0.59,0.0,54.01,303.93,0
-6.52,-9.29,-29.03,0.69,0.79,1.2,1620.11,37.8,388.1,160.84,0.3,0.42,1.42,8.13,29.79,-10.54,1.0,0.0,65.22,136.0,-4.01,-5.09,-15.42,0.34,0.4,1.22,1399.34,11.29,203.59,168.29,0.21,0.27,1.27,10.41,21.11,0.48,0.97,0.0,41.21,78.37,0
-38.91,548.28,-20.99,-0.6,-0.6,1.09,196.34,0.0,42.56,72.92,1.07,-15.09,-14.09,-26.68,107.1,-36.33,1.05,13.17,6.6,-52.77,5.02,-344.74,4.16,0.06,0.06,0.72,301.94,,188.18,124.36,1.01,-69.66,-68.66,21.82,101.46,4.95,0.68,7.61,10.29,-822.03,0
2.41,9.58,31.85,0.11,0.68,1.03,4817.91,1726.89,1930.66,1072.27,0.72,2.87,3.98,10.36,74.88,15.77,0.74,22.94,105.33,-93.31,2.93,12.73,20.67,0.18,0.8,1.11,2568.18,889.72,842.13,447.87,74.87,325.38,4.35,9.98,74.87,14.24,0.94,34.79,35.86,-83.39,0
18.68,172.03,15.29,0.19,0.9,0.95,297.99,184.65,261.77,14.62,0.89,8.21,9.21,24.11,89.14,40.69,0.75,0.0,4.45,12.0,-35.86,389.28,-76.51,0.61,0.92,0.92,776.71,253.0,838.34,,1.09,-11.86,-10.86,-22.04,109.21,-0.42,,0.0,29.47,55.88,0
27.88,35.55,18.06,3.44,4.33,4.39,235.85,44.9,50.34,3.09,0.22,0.28,1.28,27.88,21.58,137.4,15.12,0.0,0.0,0.0,21.35,22.3,19.9,13.36,22.48,22.66,339.34,130.65,14.33,2.6,0.04,0.04,1.04,21.35,4.27,539.5,29.61,0.0,0.0,0.0,0
-0.31,-0.58,-2.59,,,,1976.2,,,277.01,0.47,0.88,1.88,-0.31,46.77,-0.66,,0.0,0.0,0.0,13.25,37.45,15.26,0.59,7.81,8.64,419.26,199.54,27.64,23.04,0.65,1.83,2.83,13.33,64.62,47.02,2.19,0.0,0.09,0.33,0
1.22,19.75,1.53,0.47,0.62,0.93,456.33,61.56,411.0,130.34,0.94,15.18,16.18,56.6,93.82,17.12,0.47,0.0,69.43,129.87,-12.35,124.96,-45.85,0.03,0.1,0.33,1350.88,91.04,1338.46,305.13,1.1,-11.11,-10.11,8.2,109.89,-4.98,-0.02,0.0,76.29,738.54,0
1.68,4.92,11.56,18.68,18.79,33.47,2510.6,5.38,50.38,750.03,0.66,1.94,2.94,24.43,65.97,17.88,1.16,0.0,156.96,1865.12,-2.55,-7.71,-26.33,16.12,16.2,26.47,3753.81,6.88,93.09,955.69,0.67,2.02,3.02,20.55,66.87,10.98,1.09,0.0,169.98,-346.63,0
0.27,7.96,,0.24,1.73,1.73,1536.49,430.85,288.28,,0.91,26.33,29.05,0.83,90.63,7.64,1.12,0.0,1.91,5.82,0.87,19.22,5.37,1.07,2.0,2.0,2248.23,401.48,428.96,,0.95,21.09,22.09,1.79,95.47,10.67,1.32,0.0,4.18,5.49,0
1.26,1.26,6.12,268.0,268.0,268.0,1773.67,,6.55,,0.0,0.0,1.0,1.26,0.37,336.84,,0.0,0.0,0.0,7.06,7.7,46.74,12.01,12.01,12.01,2411.25,,198.5,,0.08,0.09,1.09,7.06,8.32,84.77,,0.0,0.0,0.0,0
0.79,1.2,1.4,0.69,0.93,2.13,643.68,27.86,104.29,138.3,0.32,0.49,1.52,16.9,34.23,39.1,1.3,4.66,28.49,106.77,0.39,0.64,0.71,0.25,0.55,1.67,653.82,39.54,120.45,144.13,0.38,0.61,1.63,12.8,37.69,34.81,1.18,6.57,16.14,67.17,0
13.8,19.12,45.36,0.22,0.23,1.73,1196.48,3.71,272.45,414.79,0.27,0.38,1.39,58.03,27.83,119.64,1.27,0.0,145.39,172.27,-19.37,-52.31,-65.19,0.04,0.09,0.66,1224.9,34.95,203.35,384.05,0.6,1.63,2.7,17.97,60.4,-9.26,0.66,38.6,89.34,76.15,0
0.32,1.28,0.35,0.05,0.25,1.04,396.12,55.26,284.1,228.11,0.75,2.99,3.99,0.32,74.94,28.88,1.11,0.0,0.0,0.0,-12.41,-300.19,-34.0,0.08,0.14,0.72,997.68,47.68,790.03,458.61,0.96,23.2,24.2,-12.41,95.87,1.85,0.47,0.0,0.0,0.0,0
-3.45,-6.92,-32.11,0.03,0.65,1.73,3384.87,444.17,337.94,773.24,0.39,0.78,2.0,28.61,50.11,28.02,1.06,11.12,298.19,-1046.17,-6.87,-14.56,-55.74,0.02,0.59,1.26,2955.48,431.95,408.69,515.02,0.42,0.88,2.12,29.27,41.54,8.23,0.93,12.04,219.43,-261.33,0
7.29,10.67,3.58,1.62,4.29,4.29,178.84,109.63,41.07,0.0,0.32,0.46,1.46,108.44,31.68,23.02,,0.0,49.7,80.4,-39.57,-49.93,,7.12,8.01,8.01,246.47,27.27,30.42,0.0,0.21,0.26,1.26,43.2,20.75,-190.66,,0.0,41.29,101.07,0
