ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
41.72,46.0,2964.54,0.22,3.22,3.22,25864.28,6377.92,2124.7,,0.09,0.1,1.1,41.72,9.3,448.38,1.24,0.0,0.0,0.0,0
1.3,5.95,3.13,0.56,0.88,1.41,876.3,51.11,158.7,84.74,0.71,3.24,4.58,4.92,78.15,28.1,0.63,10.39,8.71,24.25,0
1.78,5.55,6.58,0.68,13.11,13.11,1348.86,184.15,42.92,0.0,0.6,1.89,3.13,11.23,68.01,34.15,1.54,0.0,35.02,53.99,0
26.21,57.46,24.06,0.73,1.84,1.84,334.21,198.94,179.79,,0.54,1.19,2.19,26.21,54.39,48.18,,0.0,0.0,0.0,0
-8.48,-15.71,-6.44,0.62,1.4,1.94,276.35,72.62,92.85,50.7,0.46,0.85,1.85,29.72,46.02,4.33,1.9,9.38,29.0,240.69,0
-24.97,-101.35,-162.7,1.41,1.82,3.34,2371.96,117.32,282.62,434.74,0.62,2.52,4.06,24.47,75.36,0.01,1.12,38.2,322.19,-247.42,0
-3.6,-21.37,-14.59,0.22,0.3,0.3,1474.77,64.0,755.94,,0.83,4.94,5.94,-3.6,83.15,20.17,0.54,4.8,0.0,0.0,0
-2.4,-2.68,-9.14,4.61,5.13,5.5,1387.84,51.6,99.37,36.76,0.1,0.12,1.12,41.29,10.48,56.42,1.54,0.0,166.56,-387.07,0
0.1,0.11,0.13,,,,442.39,,,,0.0,0.0,1.0,55.57,0.21,50.0,,0.0,67.42,96.95,0
56.09,64.79,46.02,2.36,7.18,7.45,298.64,191.11,39.65,10.72,0.13,0.16,1.16,56.09,13.42,417.83,,0.0,0.0,0.0,0
0.51,1.13,0.72,0.69,1.42,1.6,516.09,90.86,125.11,22.54,0.55,1.24,2.24,3.82,55.33,14.68,1.25,0.0,4.7,30.74,0
1.49,2.54,27.7,0.29,0.47,1.18,6787.87,516.16,2794.76,2012.09,0.42,0.71,1.71,6.6,41.6,29.58,1.15,0.0,95.45,-11.93,0
5.26,11.59,5.84,0.11,0.4,0.99,404.3,22.21,78.82,47.85,0.55,1.2,2.2,24.86,54.63,36.95,0.83,0.0,21.78,100.24,0
3.34,37.3,5.92,0.03,0.21,0.21,644.91,57.26,276.01,,0.88,9.82,11.16,8.5,91.04,21.1,0.3,25.33,9.14,23.62,0
22.84,28.18,26.83,5.25,5.27,5.27,427.69,1.92,80.22,,0.19,0.23,1.23,26.24,18.97,120.42,,0.0,4.0,10.02,0
-8.7,21.24,-8.96,0.17,0.27,0.4,374.97,49.21,522.64,69.38,1.41,-3.44,-2.44,-8.7,140.97,24.96,-0.93,0.0,0.0,0.0,0
2.54,4.86,3.37,0.03,0.62,1.05,483.22,79.1,114.48,57.62,0.43,0.83,1.91,13.84,47.76,21.32,0.97,13.2,15.0,96.75,0
14.51,63.26,5.19,0.4,1.42,1.42,130.12,71.08,69.87,,0.77,3.36,4.36,37.64,77.07,23.86,2.34,0.0,8.27,48.33,0
1.27,2.57,2.45,0.09,0.41,0.64,701.49,38.85,119.93,27.79,0.5,1.02,2.02,1.27,50.46,29.37,0.93,0.0,0.0,0.0,0
0.06,2.21,22.93,0.24,6.3,7.08,149177.88,4858.56,20845.92,16395.8,0.97,38.54,39.54,0.14,97.47,0.06,,0.0,33.07,57.54,0
9.35,9.38,2.83,72.91,138.13,138.13,109.93,8.68,0.33,,0.0,0.0,1.0,71.07,0.31,3056.52,1.73,0.0,18.64,43.98,0
0.07,0.13,0.15,0.34,0.4,1.15,772.67,10.5,172.37,131.12,0.46,0.85,1.85,12.56,46.05,18.45,1.03,20.09,26.51,99.33,0
-0.89,-2.19,-1.02,0.03,0.09,0.18,418.74,15.94,140.63,22.46,0.59,1.46,2.46,15.32,59.39,20.06,0.46,24.87,18.64,-276.95,0
6.9,10.51,7.77,1.16,1.17,1.4,409.88,0.69,37.71,33.12,0.34,0.52,1.52,12.8,34.38,52.66,1.28,24.92,6.65,40.83,0
1.8,6.36,3.1,0.08,0.6,1.21,628.57,233.26,445.01,272.08,0.72,2.54,3.54,21.74,71.74,7.59,2.07,0.0,34.44,123.61,0
14.61,15.51,11.27,0.72,18.96,19.21,280.71,19.71,14.33,3.66,0.06,0.06,1.06,30.79,5.75,265.07,,0.0,12.47,37.67,0
-11.08,-135.63,-15.01,0.41,0.6,0.88,492.92,84.59,444.85,127.07,0.91,11.17,12.24,-11.08,91.83,5.79,0.42,0.0,0.0,0.0,0
-6.2,-8.82,-14.58,0.09,0.32,1.62,855.58,40.24,73.5,233.93,0.23,0.32,1.42,19.59,29.69,24.65,1.08,12.24,60.62,178.01,0
44.67,-42.64,9.84,0.25,0.94,0.94,80.18,58.43,30.65,,2.05,-1.95,-0.95,44.67,204.75,21.82,,163.85,0.0,0.0,0
0.97,4.45,2.79,0.3,0.32,1.02,1041.67,13.93,804.74,575.44,0.78,3.57,4.57,4.65,78.11,36.01,1.09,0.0,10.53,-24.52,0
3.85,10.8,5.69,0.49,0.54,1.05,538.61,15.22,6.77,151.45,0.64,1.81,2.81,12.09,64.37,27.97,0.84,53.28,12.19,-95.82,0
0.23,0.5,0.32,0.62,1.67,3.82,513.83,77.22,73.43,159.55,0.55,1.22,2.22,12.43,54.87,6.98,1.91,16.28,17.23,1353.21,0
4.64,13.03,4.25,0.0,0.45,1.51,333.54,35.78,49.06,85.65,0.45,1.28,2.81,7.94,64.39,16.6,0.89,16.29,3.03,21.26,0
-3.83,-5.27,-4.01,0.49,0.92,1.53,380.76,19.81,46.19,28.41,0.27,0.37,1.37,5.39,27.24,28.22,1.08,11.82,9.65,48.69,0
10.58,22.19,7.46,2.96,3.85,3.85,256.72,45.05,50.9,,0.52,1.1,2.1,62.06,52.3,90.28,3.51,0.0,36.31,49.35,0
-3.09,-3.52,-47.58,0.11,1.33,1.33,5603.24,405.37,332.01,,0.12,0.14,1.14,-0.72,12.08,5.03,0.99,0.0,36.48,67.37,0
-0.11,-0.15,-0.2,0.0,0.43,1.49,664.56,53.63,61.58,133.73,0.23,0.32,1.41,2.89,29.32,16.3,1.03,9.68,5.47,102.77,0
-7.13,-19.91,-13.59,0.01,0.48,1.19,693.67,94.41,193.47,145.27,0.5,1.39,2.79,14.69,64.2,15.2,0.84,1.14,41.57,144.04,0
0.79,1.64,9.63,0.04,1.17,1.82,4433.81,726.25,343.49,420.38,0.27,0.57,2.07,12.21,51.77,26.37,0.83,17.1,139.04,-2037.57,0
-45.13,-89.99,-119.56,0.17,0.54,0.54,964.4,171.27,461.41,,0.5,0.99,1.99,-45.13,49.85,-38.15,0.7,0.0,0.0,0.0,0
2.17,8.85,2.12,0.19,0.37,1.31,355.85,5.65,98.84,123.44,0.76,3.08,4.08,38.58,75.51,34.97,1.28,15.55,35.6,-109.74,0
0.39,0.41,2.53,6.97,12.12,20.57,2386.68,371.69,72.16,617.72,0.05,0.05,1.05,31.38,4.76,98.28,2.58,0.0,203.23,-778.11,0
